Account Name,Opportunity Name,Stage,Close Date,Created Date,Type,Total ACV,Primary Campaign Source,Closed Lost Reason,Law Firm Practice Area,NumofLawyers
Pappas Grubbs Price PC,Pappas Grubbs Price PC-Upsell-[O-8331],Won,6/12/23,6/12/23,Upsell,6000,Check-in Call,,Appellate; Arbitration; Commercial; Construction; Energy; Environmental; Healthcare; Insurance; Labor & Employment; Maritime; Other; Product Liability; Professional Responsibility; Transportation,56
"Kaufman Dolowich, LLP","Kaufman Dolowich, LLP-Upsell-[O-8324]",Won,6/15/23,6/8/23,Upsell,6000,No Known Campaign Source,,Commercial; Construction; Environmental; FDA; Financial Services Regulatory; Insurance; Intellectual Property; Labor & Employment; Maritime; Municipal; Other; Professional Responsibility; Real Estate,212
Gates Gonter Guy Proudfoot & Muench LLP,Gates Gonter Guy Proudfoot & Muench LLP-Upsell-[O-8304],Won,6/5/23,6/5/23,Upsell,6000,No Known Campaign Source,,Construction; Consumer Protection; DUI; Litigation; Mediation; Other; Personal Injury; Product Liability; Real Estate,37
"Pashman Stein Walder Hayden, P.C.","Pashman Stein Walder Hayden, P.C.-Upsell-[O-8296]",Won,6/6/23,6/2/23,Upsell,6000,No Known Campaign Source,,Appellate; Bankruptcy; Cannibis; Commercial; Construction; Corporate & Securities; Corporate Governance; Criminal; Elder Law; Employee Benefits; Family; FDA; Government; Healthcare; Insurance; Intellectual Property; Land Use & Zoning; Media; Other; Trusts & Estates,89
"Kaufman Dolowich, LLP","Kaufman Dolowich, LLP-Upsell-[O-8285]",Won,6/2/23,5/31/23,Upsell,6000,No Known Campaign Source,,Commercial; Construction; Environmental; FDA; Financial Services Regulatory; Insurance; Intellectual Property; Labor & Employment; Maritime; Municipal; Other; Professional Responsibility; Real Estate,212
"Kessler & Collins, A Professional Corporation","Kessler & Collins, A Professional Corporation-Upsell-[O-8158]",Won,5/9/23,5/9/23,Upsell,6000,Check-in Call,,Bankruptcy; Business Organizations; Commercial; Construction; Corporate & Securities; Healthcare; Insurance; Intellectual Property; Litigation; Oil & Gas; Other; Professional Responsibility; Real Estate; Sports; Trusts & Estates,23
"Johnston, Allison & Hord, P.A.","Johnston, Allison & Hord, P.A.-Upsell-[O-8156]",Won,5/10/23,5/8/23,Upsell,6000,No Known Campaign Source,,Arbitration; Construction; Elder Law; Employee Benefits; Environmental; Litigation; Mediation; Mergers & Acquisitions; Nonprofit Organizations; Other; Private & Hedge Funds; Real Estate; Tax; Trusts & Estates,55
Germer PLLC,Germer PLLC-Upsell-[O-8145],Won,5/3/23,5/3/23,Upsell,6000,Check-in Call,,Administrative,101
"Conley Rose, P.C.","Conley Rose, P.C.-Upsell-[O-8138]",Won,5/2/23,5/2/23,Upsell,6000,Check-in Call,,Intellectual Property; Patent; Trademark,35
Knox McLaughlin Gornall & Sennett PC,Knox McLaughlin Gornall & Sennett PC-Upsell-[O-8061],Lost,6/13/24,4/28/23,Upsell,6000,No Known Campaign Source,Inertia (Provide Details),,39
"Wick Phillips, LLP","Wick Phillips, LLP-Upsell-[O-7832]",Won,4/14/23,4/14/23,Upsell,6000,Check-in Call,,Bankruptcy; Commercial; Construction; Corporate & Securities; Finance & Banking; Healthcare; Insurance; Intellectual Property; Labor & Employment; Mergers & Acquisitions; Oil & Gas; Other; Private & Hedge Funds; Real Estate; Tax; Trusts & Estates,88
"Friedman & Feiger, LLP","Friedman & Feiger, LLP-Upsell-[O-7731]",Won,3/22/23,3/22/23,Upsell,6000,Check-in Call,,Bankruptcy; Commercial; Construction; Family; Healthcare; Intellectual Property; Labor & Employment; Litigation; Media; Mergers & Acquisitions; Other; Personal Injury; Product Liability; Real Estate; Tax; Transportation; Trusts & Estates,21
"Fagen Friedman & Fulfrost, LLP","Fagen Friedman & Fulfrost, LLP-Upsell-[O-7508]",Won,2/15/23,2/15/23,Upsell,6000,Service Orders,,Communications; Construction; Education; Government; Litigation; Other; Public Policy; Real Estate,99
"Briscoe Ivester & Bazel, LLP","Briscoe Ivester & Bazel, LLP-Cross-Sell-[O-6951]",Lost,3/23/23,10/5/22,Cross-Sell,6096,webinar - ContactEase and Coyote - ON24-090222,Price (Provide Details),Environmental; Natural Resources,8
"McGrath North Mullin & Kratz, PC LLO","McGrath North Mullin & Kratz, PC LLO-Cross-Sell-[O-6589]",Lost,6/13/24,7/25/22,Cross-Sell,6297.96,No Known Campaign Source,Inertia (Provide Details),Franchise; Insurance; Land Use & Zoning,67
"Thalheimer, Cipione, Whelan & Morgan, PLLC","Thalheimer, Cipione, Whelan & Morgan, PLLC-Upsell-[O-11844]",Lost,9/24/24,9/18/24,Upsell,6480,Cold Call,Price (Provide Details),Commercial; Corporate & Securities; Finance & Banking; Real Estate,6
"Caplin & Drysdale, Chartered","Caplin & Drysdale, Chartered-Upsell-[O-6620]",Lost,6/12/24,8/3/22,Upsell,6543,No Known Campaign Source,Inertia (Provide Details),,69
"Sherman, Sherman, Johnnie & Hoyt, LLP","Sherman, Sherman, Johnnie & Hoyt, LLP-Upsell-[O-7781]",Won,4/7/23,4/5/23,Upsell,6600,Cold Call,,Business Organizations; Land Use & Zoning; Litigation; Other; Real Estate; Trusts & Estates,20
"High Swartz, LLP","High Swartz, LLP-Upsell-[O-7653]",Won,4/7/23,3/16/23,Upsell,6600,No Known Campaign Source,,Appellate; Construction; Criminal; Education; Energy; Environmental; Family; Government; Immigration; Intellectual Property; Labor & Employment; Litigation; Municipal; Nonprofit Organizations; Other; Personal Injury; Real Estate; Workers Compensation,24
"Smith Debnam Narron Wyche Saintsing & Myers, L.L.P","Smith Debnam Narron Wyche Saintsing & Myers, L.L.P-Upsell-[O-6539]",Open,12/10/24,7/19/22,Upsell,7080,No Known Campaign Source,,,28
Flaster Greenberg,Flaster Greenberg-Upsell-[O-11615],Won,9/12/24,8/21/24,Upsell,7200,Cold Call,,Bankruptcy,77
"Reisz Siderman Eisenberg, A Professional Corporation","Reisz Siderman Eisenberg, A Professional Corporation-Upsell-[O-11532]",Won,8/19/24,8/19/24,Upsell,7200,No Known Campaign Source,,Commercial; Construction; Insurance; Litigation; Other; Product Liability; Professional Responsibility; Real Estate,13
Fletcher Tilton,Fletcher Tilton-Upsell-[O-11462],Open,12/11/24,8/1/24,Upsell,7200,,,,39
Gates Gonter Guy Proudfoot & Muench LLP,Gates Gonter Guy Proudfoot & Muench LLP-Upsell-[O-11454],Won,7/31/24,7/31/24,Upsell,7200,No Known Campaign Source,,Construction; Consumer Protection; DUI; Litigation; Mediation; Other; Personal Injury; Product Liability; Real Estate,37
Germer PLLC,Germer PLLC-Upsell-[O-10315],Won,3/22/24,3/22/24,Upsell,7200,Cold Call,,Administrative,101
Aleshire & Wynder,Aleshire & Wynder-Upsell-[O-8581],Won,6/23/23,6/23/23,Upsell,7200,No Known Campaign Source,,Administrative; Arbitration; Business Organizations; Cannibis; Commercial Transactions; Corporate Governance; Education; Environmental; Healthcare; Labor & Employment; Litigation; Real Estate,61
Pelikan & Orris,Pelikan & Orris-Upsell-[O-8054],Won,4/26/23,4/26/23,Upsell,7599.96,Check-in Call,,Litigation,23
Burglass Tankersley Gaudin Phayer,Burglass Tankersley Gaudin Phayer-Upsell-[O-7728],Won,3/29/23,3/21/23,Upsell,7680,Cold Call,,Appellate; Business Organizations; Class Actions; Commercial; Construction; Environmental; Government; Insurance; Medical Malpractice; Other; Product Liability; Professional Responsibility; Transportation; Workers Compensation,15
"Noland Hamerly Etienne & Hoss, PC","Noland Hamerly Etienne & Hoss, PC-Upsell-[O-10867]",Won,5/28/24,5/28/24,Upsell,8400,No Known Campaign Source,,Business Organizations; Construction; Labor & Employment; Land Use & Zoning; Litigation; Nonprofit Organizations; Other; Real Estate; Trusts & Estates,19
Pullman & Comley,Pullman & Comley-Upsell-[O-8057],Lost,6/13/24,4/27/23,Upsell,8400,No Known Campaign Source,Inertia (Provide Details),,88
"Cline, Williams, Wright, Johnson & Oldfather","Cline, Williams, Wright, Johnson & Oldfather-Cross-Sell-[O-7561]",Won,10/3/23,3/2/23,Cross-Sell,8400,Website Demo + Contact Us - Form Submissions,,Administrative; Employee Benefits; Environmental; Finance & Banking; Franchise; Healthcare; Immigration; Labor & Employment; Mergers & Acquisitions; Real Estate; Tax; Trusts & Estates,59
"Wood & Lamping, LLP","Wood & Lamping, LLP-Upsell-[O-7477]",Won,3/2/23,2/8/23,Upsell,8400,No Known Campaign Source,,Bankruptcy; Commercial Finance; Contracts; Elder Law; Family; Government; Healthcare; Immigration; Intellectual Property; International; Labor & Employment; Litigation; Media; Other; Real Estate; Restructuring; Tax; Trademark,41
Klehr Harrison Harvey Branzburg LLP,Klehr Harrison Harvey Branzburg LLP-Upsell-[O-9558],Won,8/30/24,11/16/23,Upsell,8478,No Known Campaign Source,,Bankruptcy; Family; Land Use & Zoning; Real Estate,95
"Baird Holm, LLP","Baird Holm, LLP-Upsell-[O-7088]",Lost,6/11/24,10/27/22,Upsell,8520.96,webinar-ContactEaseCloud #3-102522,Inertia (Provide Details),,98
Lan Smith Sosolik Pllc,Lan Smith Sosolik Pllc-Upsell-[O-8073],Lost,5/1/23,5/1/23,Upsell,8790.84,Check-in Call,Price (Provide Details),Business Organizations; Other; Tax; Trusts & Estates,18
Christensen Law Group,Christensen Law Group-Upsell-[O-9516],Won,12/12/23,11/10/23,Upsell,8891.04,Check-in Call,,Litigation; Other; Workers Compensation,10
Sherin & Lodgen,Sherin & Lodgen-Upsell-[O-9226],Lost,6/12/24,9/13/23,Upsell,9000,No Known Campaign Source,Inertia (Provide Details),Commercial; Environmental; Real Estate,46
"Fox, Swibel, Levin & Carroll, LLP","Fox, Swibel, Levin & Carroll, LLP-Upsell-[O-7738]",Won,3/27/23,3/23/23,Upsell,9000,No Known Campaign Source,,Bankruptcy; Construction; Corporate & Securities; Energy; Finance & Banking; Labor & Employment; Litigation; Real Estate; Restructuring; Tax,46
Strauss & Troy,Strauss & Troy-Upsell-[O-6553],Lost,7/7/23,7/19/22,Upsell,9000,REGISTERED-Coyote Virtual User Group-webinar-072122,Functionality (Provide Details),Business Organizations; Criminal; Family; Finance & Banking; Government; Labor & Employment; Litigation; Other; White Collar,48
"Larkin Hoffman Daly & Lindgren, Ltd.","Larkin Hoffman Daly & Lindgren, Ltd.-Upsell-[O-5555]",Lost,8/24/23,4/1/22,Upsell,9060,Cold Call,Inertia (Provide Details),,77
"Pierce Atwood, LLP","Pierce Atwood, LLP-Upsell-[O-9482]",Open,11/29/24,10/31/23,Upsell,9123,No Known Campaign Source,,Class Actions; Patent; Tax,151
"Jaffe Raitt Heuer & Weiss, PC","Jaffe Raitt Heuer & Weiss, PC-Upsell-[O-7130]",Lost,10/9/23,11/4/22,Upsell,9303,No Known Campaign Source,Feature (Provide Details),,78
Ballard Rosenberg Golper & Savitt LLP,Ballard Rosenberg Golper & Savitt LLP-Upsell-[O-10094],Won,2/23/24,2/23/24,Upsell,9375,No Known Campaign Source,,Administrative; Class Actions; Commercial; Employee Benefits; Insurance; Trial & Appellate Litigation,25
"Cohen, Weiss and Simon LLP","Cohen, Weiss and Simon LLP-Upsell-[O-9781]",Open,12/9/24,1/23/24,Upsell,9500.04,No Known Campaign Source,,Construction; Government; Labor & Employment,30
"Fishman Haygood Phelps Walmsley Willis & Swanson, L.L.P.","Fishman Haygood Phelps Walmsley Willis & Swanson, L.L.P.-Upsell-[O-11394]",Won,7/18/24,7/23/24,Upsell,9600,Cold Call,,Antitrust,49
"Carter, Ledyard & Milburn LLP","Carter, Ledyard & Milburn LLP-Upsell-[O-10144]",Won,3/25/24,3/4/24,Upsell,9600,No Known Campaign Source,,Commercial; Environmental; Native American; Trademark,80
Grant Shenon,Grant Shenon-Cross-Sell-[O-8222],Lost,1/4/24,5/16/23,Cross-Sell,9600,Referred by Employee,Inertia (Provide Details),Business Organizations; Construction; Litigation; Mergers & Acquisitions; Other; Real Estate,14
Franczek P.C.,Franczek P.C.-Cross-Sell-[O-7070],Lost,12/12/23,10/25/22,Cross-Sell,9600,Inbound-ContactEase-DemoRequest,Inertia (Provide Details),Education; Labor & Employment; Litigation,32
