Account Name,Opportunity Name,Stage,Close Date,Created Date,Type,Total ACV,Primary Campaign Source,Closed Lost Reason,Law Firm Practice Area,NumofLawyers
"Beattie Padovano, LLC","Beattie Padovano, LLC",Lost,6/12/24,3/7/24,Upsell,12,BDR Outreach,Inertia (Provide Details),Commercial; Litigation; Real Estate,23
"Pashman Stein Walder Hayden, P.C.","Pashman Stein Walder Hayden, P.C., CRM, -Cross-Sell-[O-10155]",Lost,6/13/24,3/6/24,Cross-Sell,12,BDR Outreach,Inertia (Provide Details),Appellate; Bankruptcy; Cannibis; Commercial; Construction; Corporate & Securities; Corporate Governance; Criminal; Elder Law; Employee Benefits; Family; FDA; Government; Healthcare; Insurance; Intellectual Property; Land Use & Zoning; Media; Other; Trusts & Estates,89
Goodsill Anderson Quinn & Stifel,Goodsill Anderson Quinn & Stifel-New-[O-11052],Lost,10/9/24,6/3/24,New,100,Cold Call,Inertia (Provide Details),,54
Hahn & Hahn LLP,Hahn & Hahn LLP-Upsell-[O-7409],Won,1/26/23,1/26/23,Upsell,240,Cold Call,,Bankruptcy; Environmental; Family; Labor & Employment; Land Use & Zoning; Litigation; Other; Real Estate; Trusts & Estates,21
Weiner Law Group LLP,Weiner Law Group LLP-Upsell-[O-7410],Won,2/2/23,1/26/23,Upsell,240,Cold Call,,Business Organizations; Cannibis; Criminal; Education; Family; Government; Intellectual Property; Labor & Employment; Land Use & Zoning; Litigation; Other; Real Estate; Trusts & Estates; Workers Compensation,56
"Sherrard Roe Voigt & Harbison, PLC","Sherrard Roe Voigt & Harbison, PLC-Upsell-[O-7354]",Won,1/6/23,1/6/23,Upsell,261,Cold Call,,Antitrust,40
Winget Spadafora Schwartzberg LLP,Winget Spadafora Schwartzberg LLP-Upsell-[O-8534],Won,7/27/23,6/22/23,Upsell,368.88,No Known Campaign Source,,Insurance; Labor & Employment; Product Liability,48
"Fox, Swibel, Levin & Carroll, LLP","Fox, Swibel, Levin & Carroll, LLP-Upsell-[O-7352]",Won,1/6/23,1/6/23,Upsell,399,Cold Call,,Bankruptcy; Construction; Corporate & Securities; Energy; Finance & Banking; Labor & Employment; Litigation; Real Estate; Restructuring; Tax,46
"Fisher, Tousey, Leas & Ball","Fisher, Tousey, Leas & Ball-Upsell-[O-9295]",Won,9/25/23,9/22/23,Upsell,400.08,Cold Call,,Appellate; Arbitration; Business Organizations; Commercial; Corporate & Securities; Corporate Governance; Elder Law; Family; Mediation; Mergers & Acquisitions; Other; Real Estate; Structured Finance; Tax; Trusts & Estates; Venture Capital,33
"McRae Smith Peek Harman & Monroe, LLP","McRae Smith Peek Harman & Monroe, LLP-Upsell-[O-8163]",Won,5/12/23,5/10/23,Upsell,420,Cold Call,,Appellate; Criminal; Family; Finance & Banking; Litigation; Mediation; Other; Personal Injury; Real Estate; Trusts & Estates; Workers Compensation,15
Riker Danzig LLP,Riker Danzig LLP-Upsell-[O-8164],Won,5/18/23,5/10/23,Upsell,480,No Known Campaign Source,,Appellate,130
Beahm & Green,Beahm & Green-Upsell-[O-7421],Won,1/27/23,1/27/23,Upsell,480,Cold Call,,Healthcare; Insurance; Medical Malpractice; Other,6
"Hudson Cook, LLP","Hudson Cook, LLP-Upsell-[O-7554]",Lost,3/16/23,2/28/23,Upsell,500.04,No Known Campaign Source,Inertia (Provide Details),Litigation,52
Saxe Doernberger & Vita,Saxe Doernberger & Vita-Upsell-[O-7400],Won,1/25/23,1/25/23,Upsell,500.04,No Known Campaign Source,,Construction; Insurance; Real Estate,48
Nukk-Freeman & Cerra,Nukk-Freeman & Cerra-Upsell-[O-7407],Won,1/26/23,1/26/23,Upsell,546,Cold Call,,Employee Benefits; Labor & Employment; Litigation; Other; Workers Compensation,38
"Egerton McAfee Armistead & Davis, PC","Egerton McAfee Armistead & Davis, PC-Upsell-[O-7564]",Won,3/9/23,3/2/23,Upsell,567,Cold Call,,Antitrust,28
"Macdonald Devin, P.C.","Macdonald Devin, P.C.-Upsell-[O-7353]",Won,1/6/23,1/6/23,Upsell,567,Cold Call,,Appellate; Business Organizations; Commercial; Commercial Transactions; Construction; Healthcare; Insurance; Litigation; Other; Product Liability; Transportation,27
Flaster Greenberg,Flaster Greenberg-Upsell-[O-11231],Won,6/28/24,6/27/24,Upsell,600,No Known Campaign Source,,Bankruptcy,77
Saxe Doernberger & Vita,Saxe Doernberger & Vita-Upsell-[O-11097],Won,6/14/24,6/12/24,Upsell,600,No Known Campaign Source,,Construction; Insurance; Real Estate,48
Saxe Doernberger & Vita,Saxe Doernberger & Vita-Upsell-[O-9938],Won,2/8/24,2/8/24,Upsell,600,No Known Campaign Source,,Construction; Insurance; Real Estate,48
Sadis & Goldberg LLP,Sadis & Goldberg LLP-Upsell-[O-8303],Lost,10/11/23,6/5/23,Upsell,600,No Known Campaign Source,Inertia (Provide Details),,30
MoloLamken LLP,MoloLamken LLP-Upsell-[O-8252],Won,5/22/23,5/22/23,Upsell,600,No Known Campaign Source,,,42
Hart Wagner LLP,Hart Wagner LLP-Upsell-[O-8007],Won,4/28/23,4/25/23,Upsell,693,Cold Call,,Appellate; Commercial; Construction; Healthcare; Insurance; Legal Malpractice; Litigation; Malpractice; Medical Malpractice; Other; Product Liability; Professional Responsibility,22
Conn Kavanaugh Rosenthal Peisch & Ford,Conn Kavanaugh Rosenthal Peisch & Ford-Upsell-[O-10513],Won,4/18/24,4/18/24,Upsell,720,No Known Campaign Source,,Construction; Corporate Governance; Criminal; Family; Insurance; Land Use & Zoning; Litigation; Mediation; Nonprofit Organizations; Product Liability; Professional Responsibility; Real Estate; Trusts & Estates,46
"Stranch Jennings and Garvey, PLLC","Stranch Jennings and Garvey, PLLC-Upsell-[O-9343]",Lost,2/20/24,10/5/23,Upsell,800.04,Cold Call,Feature (Provide Details),Class Actions; Other; Personal Injury; Product Liability,21
"Cohen, Weiss and Simon LLP","Cohen, Weiss and Simon LLP-Upsell-[O-9942]",Won,2/8/24,2/8/24,Upsell,825,No Known Campaign Source,,Construction; Government; Labor & Employment,30
Kraft Kennedy,Kraft Kennedy-New-[O-11390],Won,7/22/24,7/22/24,New,840,email-IGNITE 2024-invite-Austin-040424,,,
Petrucelli & Waara,Petrucelli & Waara-Upsell-[O-9058],Won,8/11/23,8/11/23,Upsell,865.08,No Known Campaign Source,,,2
Todd & Weld LLP,Todd & Weld LLP-Upsell-[O-9426],Won,10/18/23,10/18/23,Upsell,960,No Known Campaign Source,,Commercial; Construction; Healthcare,53
Certilman Balin Adler & Hyman LLP,Certilman Balin Adler & Hyman LLP-Upsell-[O-8941],Won,8/4/23,7/28/23,Upsell,960,No Known Campaign Source,,Corporate & Securities; Labor & Employment; Real Estate; Trusts & Estates,78
Hopkins & Carley,Hopkins & Carley-Upsell-[O-8781],Won,6/30/23,6/30/23,Upsell,960,No Known Campaign Source,,Commercial; Real Estate; Trusts & Estates,65
Saxe Doernberger & Vita,Saxe Doernberger & Vita-Upsell-[O-12095],Won,11/4/24,11/4/24,Upsell,1200,,,Construction; Insurance; Real Estate,48
"Zimmer Kunz, PLLC","Zimmer Kunz, PLLC-Upsell-[O-12074]",Won,10/28/24,10/28/24,Upsell,1200,Cold Call,,Commercial; Construction; Criminal; Energy; Environmental; Insurance; Labor & Employment; Litigation; Natural Resources; Other; Professional Responsibility; Transportation,31
Meissner Tierney Fisher & Nichols S.C.,Meissner Tierney Fisher & Nichols S.C.-Upsell-[O-12046],Won,10/18/24,10/18/24,Upsell,1200,Cold Call,,Antitrust,22
"Anderson, McPharlin & Conners LLP","Anderson, McPharlin & Conners LLP-Upsell-[O-12022]",Won,10/14/24,10/14/24,Upsell,1200,Check-in Call,,Appellate,26
Queen Saenz & Schutz PLLC,Queen Saenz & Schutz PLLC-Upsell-[O-11966],Won,10/10/24,10/10/24,Upsell,1200,Cold Call,,Commercial; Mergers & Acquisitions; Other; Venture Capital,7
"Mincey-Carter, PC","Mincey-Carter, PC-Upsell-[O-11929]",Won,9/30/24,9/30/24,Upsell,1200,Cold Call,,Administrative; Business Organizations; Family; Other; Tax; Trusts & Estates,5
Bartlett Loeb Hinds Thompson & Angelos,Bartlett Loeb Hinds Thompson & Angelos-Upsell-[O-11878],Won,9/25/24,9/25/24,Upsell,1200,Cold Call,,Administrative; Appellate; Arbitration; Class Actions; Commercial; Construction; Government; Intellectual Property; Litigation; Mediation; Municipal; Other; Real Estate; Trademark; Utilities,13
Melchiode Marks King,Melchiode Marks King-Upsell-[O-11879],Won,9/25/24,9/25/24,Upsell,1200,Cold Call,,Class Actions; Commercial; Construction; Environmental; Litigation; Maritime; Product Liability; Workers Compensation,16
Kaplan Kirsch & Rockwell LLP,Kaplan Kirsch & Rockwell LLP-Upsell-[O-11840],Won,9/17/24,9/17/24,Upsell,1200,No Known Campaign Source,,Aviation; Bankruptcy; Employee Benefits; Energy; Environmental; Government; Labor & Employment; Land Use & Zoning; Litigation; Native American; Other; Private & Hedge Funds; Public Finance; Public Policy; Railroad; Real Estate; Water,44
"Mouledoux, Bland, Legrand & Brackett, LLC","Mouledoux, Bland, Legrand & Brackett, LLC-Upsell-[O-11740]",Won,9/3/24,9/3/24,Upsell,1200,Cold Call,,Commercial; Corporate & Securities; Corporate Governance; Insurance; Maritime; Municipal; Other; Transportation; Workers Compensation,38
"Noelke Maples St. Leger Bryant, LLP","Noelke Maples St. Leger Bryant, LLP-Upsell-[O-11631]",Won,8/23/24,8/23/24,Upsell,1200,Cold Call,,Family; Trusts & Estates,9
"Barrasso Usdin Kupperman Freeman & Sarver, L.L.C.","Barrasso Usdin Kupperman Freeman & Sarver, L.L.C.-Upsell-[O-11620]",Won,8/21/24,8/22/24,Upsell,1200,Cold Call,,Appellate; Arbitration; Class Actions; Commercial; Environmental; Insurance; International; Litigation; Other; Product Liability; Regulatory,28
"Allensworth & Porter, LLP","Allensworth & Porter, LLP-Upsell-[O-11528]",Won,8/16/24,8/19/24,Upsell,1200,Cold Call,,Arbitration; Construction; Other; Water,24
Queen Saenz & Schutz PLLC,Queen Saenz & Schutz PLLC-Upsell-[O-11508],Won,8/9/24,8/9/24,Upsell,1200,Cold Call,,Commercial; Mergers & Acquisitions; Other; Venture Capital,7
Dwyer Murphy Calvert LLP,Dwyer Murphy Calvert LLP-Upsell-[O-11426],Won,7/26/24,7/26/24,Upsell,1200,Cold Call,,Business Organizations; Mergers & Acquisitions; Other; Private & Hedge Funds; Venture Capital,15
Fluet,Fluet-Upsell-[O-11138],Won,6/20/24,6/20/24,Upsell,1200,No Known Campaign Source,,Corporate Governance; Government; International; Litigation; Other,24
"Brot Gross Fishbein, LLP","Brot Gross Fishbein, LLP-Upsell-[O-11093]",Won,6/11/24,6/11/24,Upsell,1200,No Known Campaign Source,,Family,9
Kaplan Kirsch & Rockwell LLP,Kaplan Kirsch & Rockwell LLP-Upsell-[O-11060],Won,6/4/24,6/4/24,Upsell,1200,No Known Campaign Source,,Aviation; Bankruptcy; Employee Benefits; Energy; Environmental; Government; Labor & Employment; Land Use & Zoning; Litigation; Native American; Other; Private & Hedge Funds; Public Finance; Public Policy; Railroad; Real Estate; Water,44
"Allensworth & Porter, LLP","Allensworth & Porter, LLP-Upsell-[O-11050]",Won,5/31/24,5/31/24,Upsell,1200,Cold Call,,Arbitration; Construction; Other; Water,24
Stephenson Rife LLP,Stephenson Rife LLP-Upsell-[O-10766],Won,5/16/24,5/16/24,Upsell,1200,No Known Campaign Source,,Business Organizations; Education; Other; Personal Injury; Real Estate; Trusts & Estates,9
"Mincey-Carter, PC","Mincey-Carter, PC-Upsell-[O-10731]",Won,5/10/24,5/10/24,Upsell,1200,Cold Call,,Administrative; Business Organizations; Family; Other; Tax; Trusts & Estates,5
Dwyer Murphy Calvert LLP,Dwyer Murphy Calvert LLP-Upsell-[O-10494],Won,4/15/24,4/15/24,Upsell,1200,Cold Call,,Business Organizations; Mergers & Acquisitions; Other; Private & Hedge Funds; Venture Capital,15
Queen Saenz & Schutz PLLC,Queen Saenz & Schutz PLLC-Upsell-[O-10470],Won,4/10/24,4/10/24,Upsell,1200,Cold Call,,Commercial; Mergers & Acquisitions; Other; Venture Capital,7
Fluet,Fluet-Upsell-[O-10411],Won,3/29/24,3/29/24,Upsell,1200,No Known Campaign Source,,Corporate Governance; Government; International; Litigation; Other,24
TroyGould PC,TroyGould PC-Upsell-[O-10282],Won,3/18/24,3/18/24,Upsell,1200,No Known Campaign Source,,Aviation; Corporate & Securities; FDA; Intellectual Property; Labor & Employment; Litigation; Media; Other; Real Estate,35
"Mouledoux, Bland, Legrand & Brackett, LLC","Mouledoux, Bland, Legrand & Brackett, LLC-Upsell-[O-10168]",Won,3/4/24,3/8/24,Upsell,1200,Cold Call,,Commercial; Corporate & Securities; Corporate Governance; Insurance; Maritime; Municipal; Other; Transportation; Workers Compensation,38
"Boyar & Miller, A Professional Corporation","Boyar & Miller, A Professional Corporation-Upsell-[O-10102]",Won,2/22/24,2/26/24,Upsell,1200,Cold Call,,Energy; Healthcare; Insurance; Litigation; Mergers & Acquisitions; Oil & Gas; Other; Real Estate,33
"Schlack Ito, A Limited Liability Law Company","Schlack Ito, A Limited Liability Law Company-Upsell-[O-9775]",Won,1/22/24,1/22/24,Upsell,1200,No Known Campaign Source,,Business Organizations; Corporate & Securities; Family; Finance & Banking; Government; Other; Real Estate,14
Thorsnes Bartolotta McGuire,Thorsnes Bartolotta McGuire-Upsell-[O-9769],Won,1/19/24,1/19/24,Upsell,1200,No Known Campaign Source,,Litigation; Medical Malpractice; Other; Personal Injury; Product Liability,9
"Berkowitz Lichtstein Kuritsky Giasullo & Gross, LLC","Berkowitz Lichtstein Kuritsky Giasullo & Gross, LLC-Upsell-[O-9747]",Won,1/12/24,1/12/24,Upsell,1200,No Known Campaign Source,,Commercial; Family; Litigation; Other; Personal Injury; Trusts & Estates,20
"Anderson, McPharlin & Conners LLP","Anderson, McPharlin & Conners LLP-Upsell-[O-9692]",Won,12/29/23,12/29/23,Upsell,1200,No Known Campaign Source,,Appellate,26
Greene Hamrick Schermer & Johnson P.A.,Greene Hamrick Schermer & Johnson P.A.-Upsell-[O-9677],Won,12/19/23,12/18/23,Upsell,1200,Cold Call,,Bankruptcy; Business Organizations; Commercial; Elder Law; Finance & Banking; Litigation; Municipal; Other; Real Estate; Trusts & Estates,7
Thorsnes Bartolotta McGuire,Thorsnes Bartolotta McGuire-Upsell-[O-9664],Won,12/13/23,12/13/23,Upsell,1200,No Known Campaign Source,,Litigation; Medical Malpractice; Other; Personal Injury; Product Liability,9
Bartlett Loeb Hinds Thompson & Angelos,Bartlett Loeb Hinds Thompson & Angelos-Upsell-[O-9622],Won,12/1/23,12/1/23,Upsell,1200,Cold Call,,Administrative; Appellate; Arbitration; Class Actions; Commercial; Construction; Government; Intellectual Property; Litigation; Mediation; Municipal; Other; Real Estate; Trademark; Utilities,13
"Schlack Ito, A Limited Liability Law Company","Schlack Ito, A Limited Liability Law Company-Upsell-[O-9623]",Won,12/1/23,12/1/23,Upsell,1200,Check-in Call,,Business Organizations; Corporate & Securities; Family; Finance & Banking; Government; Other; Real Estate,14
Dwyer Murphy Calvert LLP,Dwyer Murphy Calvert LLP-Upsell-[O-9607],Won,11/27/23,11/27/23,Upsell,1200,Check-in Call,,Business Organizations; Mergers & Acquisitions; Other; Private & Hedge Funds; Venture Capital,15
"Mouledoux, Bland, Legrand & Brackett, LLC","Mouledoux, Bland, Legrand & Brackett, LLC-Upsell-[O-9576]",Won,11/17/23,11/17/23,Upsell,1200,Check-in Call,,Commercial; Corporate & Securities; Corporate Governance; Insurance; Maritime; Municipal; Other; Transportation; Workers Compensation,38
Mayer LLP,Mayer LLP-Upsell-[O-9489],Won,11/2/23,11/2/23,Upsell,1200,Check-in Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110
"Capehart & Scatchard, P.A.","Capehart & Scatchard, P.A.-Upsell-[O-9347]",Won,10/6/23,10/6/23,Upsell,1200,No Known Campaign Source,,Cannibis; Education; Energy; Finance & Banking; Healthcare; Labor & Employment; Land Use & Zoning; Litigation; Other; Real Estate; Workers Compensation,90
"Barack Ferrazzano Kirschbaum & Nagelberg, LLP","Barack Ferrazzano Kirschbaum & Nagelberg, LLP-Upsell-[O-9302]",Won,9/26/23,9/26/23,Upsell,1200,No Known Campaign Source,,,124
Kulik Gottesman Siegel & Ware LLP,Kulik Gottesman Siegel & Ware LLP-Upsell-[O-9244],Won,9/18/23,9/18/23,Upsell,1200,No Known Campaign Source,,Business Organizations; Corporate & Securities; Intellectual Property; Other; Real Estate,11
Mayer LLP,Mayer LLP-Upsell-[O-9207],Won,9/6/23,9/6/23,Upsell,1200,Check-in Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110
"Bledsoe, Diestel, Treppa & Crane LLP","Bledsoe, Diestel, Treppa & Crane LLP-Upsell-[O-9202]",Won,9/1/23,9/1/23,Upsell,1200,Service Orders,,Construction; Consumer Protection; Litigation; Other; Product Liability; Real Estate,19
Pipes Miles Beckman,Pipes Miles Beckman-Upsell-[O-9194],Won,8/31/23,8/31/23,Upsell,1200,Cold Call,,Appellate; Commercial; Construction; Insurance; Labor & Employment; Other; Product Liability; Professional Responsibility,33
Becker LLC,Becker LLC-Upsell-[O-9178],Won,9/13/23,8/28/23,Upsell,1200,No Known Campaign Source,,Bankruptcy; Business Organizations; Corporate & Securities; Finance & Banking; Insurance; International; Litigation; Mergers & Acquisitions; Other; Real Estate; Restructuring; Transportation,16
"Auman, Mahan & Furry A Legal Professional Association","Auman, Mahan & Furry A Legal Professional Association-Upsell-[O-9115]",Won,9/5/23,8/24/23,Upsell,1200,No Known Campaign Source,,Business Organizations; Construction; Labor & Employment; Litigation; Other; Workers Compensation,11
"Degan, Blanchard & Nash,","Degan, Blanchard & Nash,-Upsell-[O-9117]",Won,8/25/23,8/24/23,Upsell,1200,Check-in Call,,Arbitration,50
Bartlett Loeb Hinds Thompson & Angelos,Bartlett Loeb Hinds Thompson & Angelos-Upsell-[O-9064],Won,8/16/23,8/15/23,Upsell,1200,Cold Call,,Administrative; Appellate; Arbitration; Class Actions; Commercial; Construction; Government; Intellectual Property; Litigation; Mediation; Municipal; Other; Real Estate; Trademark; Utilities,13
McKinley Irvin,McKinley Irvin-Upsell-[O-9057],Won,8/14/23,8/11/23,Upsell,1200,Cold Call,,Family; International; Mediation,50
Pipes Miles Beckman,Pipes Miles Beckman-Upsell-[O-9052],Won,8/10/23,8/10/23,Upsell,1200,Cold Call,,Appellate; Commercial; Construction; Insurance; Labor & Employment; Other; Product Liability; Professional Responsibility,33
"Degan, Blanchard & Nash,","Degan, Blanchard & Nash,-Upsell-[O-9034]",Won,8/8/23,8/7/23,Upsell,1200,Check-in Call,,Arbitration,50
Gray Reed & McGraw,Gray Reed & McGraw-Upsell-[O-9037],Won,8/7/23,8/7/23,Upsell,1200,Check-in Call,,,142
Baute Crochetiere Hartley & Velkei LLP,Baute Crochetiere Hartley & Velkei LLP-Upsell-[O-9019],Won,8/1/23,8/1/23,Upsell,1200,Check-in Call,,Appellate; Commercial; Healthcare; Insurance; Litigation; Media; Other; Professional Malpractice,12
"Mouledoux, Bland, Legrand & Brackett, LLC","Mouledoux, Bland, Legrand & Brackett, LLC-Upsell-[O-9023]",Won,8/3/23,8/1/23,Upsell,1200,Check-in Call,,Commercial; Corporate & Securities; Corporate Governance; Insurance; Maritime; Municipal; Other; Transportation; Workers Compensation,38
Thorsnes Bartolotta McGuire,Thorsnes Bartolotta McGuire-Upsell-[O-8913],Won,7/19/23,7/19/23,Upsell,1200,No Known Campaign Source,,Litigation; Medical Malpractice; Other; Personal Injury; Product Liability,9
"Degan, Blanchard & Nash,","Degan, Blanchard & Nash,-Upsell-[O-8912]",Won,7/19/23,7/18/23,Upsell,1200,Check-in Call,,Arbitration,50
"Strauss Massey Dinneen, LLC","Strauss Massey Dinneen, LLC-Upsell-[O-8906]",Won,7/18/23,7/17/23,Upsell,1200,Cold Call,,Arbitration; Commercial; Family; Insurance; Litigation; Maritime; Other; Transportation,17
"Brot Gross Fishbein, LLP","Brot Gross Fishbein, LLP-Upsell-[O-8890]",Won,7/14/23,7/14/23,Upsell,1200,No Known Campaign Source,,Family,9
Thorsnes Bartolotta McGuire,Thorsnes Bartolotta McGuire-Upsell-[O-8792],Won,7/6/23,7/6/23,Upsell,1200,No Known Campaign Source,,Litigation; Medical Malpractice; Other; Personal Injury; Product Liability,9
"Degan, Blanchard & Nash,","Degan, Blanchard & Nash,-Upsell-[O-8758]",Won,6/30/23,6/29/23,Upsell,1200,Check-in Call,,Arbitration,50
"Chaffetz Lindsey, LLP","Chaffetz Lindsey, LLP-Upsell-[O-8350]",Won,6/26/23,6/15/23,Upsell,1200,No Known Campaign Source,,Bankruptcy; Energy; Insurance; Litigation,32
"Barack Ferrazzano Kirschbaum & Nagelberg, LLP","Barack Ferrazzano Kirschbaum & Nagelberg, LLP-Upsell-[O-8300]",Won,6/5/23,6/5/23,Upsell,1200,No Known Campaign Source,,,124
"Wells, Anderson & Race","Wells, Anderson & Race-Upsell-[O-8284]",Won,5/31/23,5/31/23,Upsell,1200,Check-in Call,,Appellate; Aviation; Commercial; Construction; Insurance; Labor & Employment; Litigation; Product Liability; Transportation; Trial & Appellate Litigation,15
David Allen Law Group,David Allen Law Group-Upsell-[O-8270],Won,5/24/23,5/24/23,Upsell,1200,Check-in Call,,Appellate; Business Organizations; Commercial; Insurance; Litigation; Other,16
Mayer LLP,Mayer LLP-Upsell-[O-8271],Won,5/24/23,5/24/23,Upsell,1200,Check-in Call,,Appellate; Corporate & Securities; Healthcare; Immigration; Labor & Employment; Litigation; Real Estate; Tax; Trial & Appellate Litigation,110
Cumberland Litigation,Cumberland Litigation-Upsell-[O-8220],Won,5/16/23,5/16/23,Upsell,1200,Cold Call,,Family; Healthcare; Litigation; Mediation,4
"McRae Smith Peek Harman & Monroe, LLP","McRae Smith Peek Harman & Monroe, LLP-Upsell-[O-8162]",Won,5/12/23,5/10/23,Upsell,1200,Cold Call,,Appellate; Criminal; Family; Finance & Banking; Litigation; Mediation; Other; Personal Injury; Real Estate; Trusts & Estates; Workers Compensation,15
Pugh Accardo LLC,Pugh Accardo LLC-Upsell-[O-8165],Won,5/11/23,5/10/23,Upsell,1200,Cold Call,,Class Actions; Environmental; Franchise; Insurance; Intellectual Property; Litigation; Maritime; Other; Workers Compensation,31
Orbach Huff & Henderson,Orbach Huff & Henderson-Upsell-[O-7833],Won,4/14/23,4/14/23,Upsell,1200,No Known Campaign Source,,Appellate; Construction; Education; Energy; Environmental; Labor & Employment; Litigation; Other; Public Finance,41
Pipes Miles Beckman,Pipes Miles Beckman-Upsell-[O-7802],Won,4/13/23,4/13/23,Upsell,1200,Cold Call,,Appellate; Commercial; Construction; Insurance; Labor & Employment; Other; Product Liability; Professional Responsibility,33
Orbach Huff & Henderson,Orbach Huff & Henderson-Upsell-[O-7787],Won,4/7/23,4/7/23,Upsell,1200,No Known Campaign Source,,Appellate; Construction; Education; Energy; Environmental; Labor & Employment; Litigation; Other; Public Finance,41
"Sherrard Roe Voigt & Harbison, PLC","Sherrard Roe Voigt & Harbison, PLC-Upsell-[O-7557]",Won,3/1/23,3/1/23,Upsell,1200,Cold Call,,Antitrust,40
Pipes Miles Beckman,Pipes Miles Beckman-Upsell-[O-7511],Won,2/15/23,2/15/23,Upsell,1200,Cold Call,,Appellate; Commercial; Construction; Insurance; Labor & Employment; Other; Product Liability; Professional Responsibility,33
Zeichner Ellman & Krause Llp,Zeichner Ellman & Krause Llp-Upsell-[O-7485],Won,3/29/23,2/10/23,Upsell,1200,Check-in Call,,Arbitration; Bankruptcy; Corporate & Securities; Cybersecurity; Energy; Environmental; FDA; Finance & Banking; Government; Healthcare; Insurance; Intellectual Property; Labor & Employment; Other; Restructuring; Sports,43
Nichols Liu LLP,Nichols Liu LLP-New-[O-11925],Open,12/2/24,9/30/24,New,1260,WR-Demo Request-Website-SurePoint.com-PG1142A1,,,14
Conn Kavanaugh Rosenthal Peisch & Ford,Conn Kavanaugh Rosenthal Peisch & Ford-Upsell-[O-9779],Won,1/23/24,1/23/24,Upsell,1260,No Known Campaign Source,,Construction; Corporate Governance; Criminal; Family; Insurance; Land Use & Zoning; Litigation; Mediation; Nonprofit Organizations; Product Liability; Professional Responsibility; Real Estate; Trusts & Estates,46
Mitchell Williams Selig Gates & Woodyard PLLC,Mitchell Williams Selig Gates & Woodyard PLLC-Upsell-[O-8942],Won,8/1/23,7/29/23,Upsell,1260,Cold Call,,,80
Manier & Herod,Manier & Herod-Upsell-[O-10717],Won,5/7/24,5/7/24,Upsell,1419.36,Cold Call,,Business Organizations; Trusts & Estates; Workers Compensation,30
Winstead PC,Winstead PC-Upsell-[O-10193],Won,3/1/24,3/14/24,Upsell,1440,Cold Call,,Administrative; Construction; Corporate & Securities; Environmental; Finance & Banking; Regulatory,307
"King Holmes Paterno & Berliner, LLP","King Holmes Paterno & Berliner, LLP-Upsell-[O-7422]",Won,1/31/23,1/30/23,Upsell,1440,Cold Call,,Corporate & Securities; Corporate Governance; Intellectual Property; Media; Other; Real Estate,22
"O'Neil, Cannon, Hollman, DeJong & Laing","O'Neil, Cannon, Hollman, DeJong & Laing-Upsell-[O-6558]",Lost,2/2/23,7/20/22,Upsell,1647,No Known Campaign Source,Price (Provide Details),,42
Bowditch & Dewey,Bowditch & Dewey-Upsell-[O-10508],Won,4/17/24,4/17/24,Upsell,1800,No Known Campaign Source,,Bankruptcy; Commercial; Corporate & Securities,63
MoloLamken LLP,MoloLamken LLP-Upsell-[O-9667],Won,12/13/23,12/13/23,Upsell,1800,No Known Campaign Source,,,42
Wilkinson Barker Knauer,Wilkinson Barker Knauer-Upsell-[O-8352],Won,6/15/23,6/15/23,Upsell,1800,No Known Campaign Source,,Communications; Copyright; Media,72
"Barack Ferrazzano Kirschbaum & Nagelberg, LLP","Barack Ferrazzano Kirschbaum & Nagelberg, LLP-Upsell-[O-7842]",Won,4/18/23,4/18/23,Upsell,1800,No Known Campaign Source,,,124
Bowditch & Dewey,Bowditch & Dewey-Upsell-[O-7544],Lost,1/23/24,2/27/23,Upsell,1800,Check-in Call,Inertia (Provide Details),Bankruptcy; Commercial; Corporate & Securities,63
Wilkinson Barker Knauer,Wilkinson Barker Knauer-Upsell-[O-7355],Won,1/9/23,1/9/23,Upsell,1800,No Known Campaign Source,,Communications; Copyright; Media,72
Gould & Ratner LLP,Gould & Ratner LLP-Upsell-[O-9225],Won,9/13/23,9/13/23,Upsell,1875,Service Orders,,Bankruptcy; Environmental; Finance & Banking,54
Donahue Fitzgerald,Donahue Fitzgerald-Upsell-[O-6559],Lost,1/2/24,7/20/22,Upsell,2004.96,No Known Campaign Source,Inertia (Provide Details),Corporate & Securities; Franchise; Real Estate,47
Abbott Stringham & Lynch,Abbott Stringham & Lynch-Upsell-[O-6750],Lost,11/8/23,8/18/22,Upsell,2034,No Known Campaign Source,Inertia (Provide Details),,
"Holmes Weddle & Barcott, PC","Holmes Weddle & Barcott, PC-Upsell-[O-7754]",Won,4/7/23,3/29/23,Upsell,2100,Cold Call,,Construction; Labor & Employment; Litigation; Maritime; Natural Resources; Other,26
"Kahn, Dees, Donovan & Kahn","Kahn, Dees, Donovan & Kahn-Upsell-[O-6548]",Lost,7/7/23,7/19/22,Upsell,2397.96,No Known Campaign Source,Feature (Provide Details),,33
"DuBois Cary Law Group, PLLC","DuBois Cary Law Group, PLLC-Upsell-[O-11962]",Won,10/8/24,10/8/24,Upsell,2400,No Known Campaign Source,,Family,6
